"Event id";"Date and time";IP;"Camp. ID";Offer;"Flow ID";"Landing page";"Affiliate Network";Source;"Country flag";State/region;City;"OS Logo";Browser;"Connection type";"Device type";"Device model";Bot;"UC (campaign)";"Event type";X-Requested-With;Referrer;"Search engine";"External ID";"Mobile operator";ISP;Country;Language;"User agent";"OS Logo";"OS version";Revenue
019cd29b-f45a-72e4-a1c3-21778f662800;"2026-03-09 12:39:17";203.194.11.81;92;;284;;;Facebook.com;AU;"New South Wales";"Red Head";Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;NhZW0CMQk63_TWRi7H_Ci9NHCoTNjhQHtESGIy1_9JbtsaYmiwcg-kTG0oi71RT5IhMQQAIDIPc_aem_GVjy-bR9OxeWimiqFRIaBg;Unknown;"TPG Internet Pty Ltd.";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd29b-f459-7253-9268-8641e8762801;"2026-03-09 12:39:08";103.81.124.3;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsbKXCpzcnRjBmFwcF9pZA8NTY3MDY3MzQzMzUyNDI3AAZS17nBiS7CnvejEdNBMWdl69i9B2Fb7u51w2ekLZVMUwEdp8kJSYevL6_aem_lXmpy4HJ8ra5khY72e2Zyg;Unknown;"Domo Digital Pty Ltd";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd29a-4757-711e-90a3-6d881001912e;"2026-03-09 12:37:17";173.245.209.78;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;NhZW0CMQmmfeaSmwcEO7jiL99IZOo6uMLHclzz750YOANTlV7EfnDAL5hmoDNSdAGwiuinavLKU_aem_XH9Kct5NmJiwY7-KaeWNhg;Unknown;"NETPR SYD GD";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd29a-0a0d-706e-b043-789230fd2fbd;"2026-03-09 12:37:16";203.164.193.194;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsLSlRpzcnRjBmFwcF9pZA8OTY2MjQyMjIzMzk3MTE3AAyU4Pu56sr03EWdWGbtXyOaMWHxJsQcNtunbhi4T2JWGGqevCxwN_DrYB_aem_qb2la1UBJDcSAbhIybzX0g;Unknown;"@Home Network Australia";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36";Android;10;0
019cd29a-0a0c-73ce-b53c-4b561110f8b1;"2026-03-09 12:37:05";175.33.182.40;92;;284;;;Facebook.com;AU;Victoria;Sunshine;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;NhZW0CMQWhgALzmn2qCuanoWoioyvue7Oy1L0BpH2otqMMeRKdcVtNWRtOBCL7SwoHfYxBCsX9c_aem_ce5MLQEgu-j5SouEG8nKcw;Unknown;"SingTel Optus Pty Ltd";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd298-d898-71b5-9df3-a459479fe0b2;"2026-03-09 12:35:53";101.115.139.84;92;;284;;;Facebook.com;AU;Victoria;Melbourne;Android;"Chrome Mobile";Cellular;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsbcXYpzcnRjBmFwcF9pZA8MjU0NTUzODIyMzk3MTE3AAVRdnJo5SbZrhXOGcGR-35y6tgYt2TII_vJRVi84G-qNHQbTP-Y70GMnu_aem_E8EVcO2Wo6J83ekKnJbsFw;"Vodafone Australia";"Vodafone Australia Pty Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd298-9b44-7077-b802-f2edb56d5e26;"2026-03-09 12:35:28";101.173.155.124;92;;284;;;Facebook.com;AU;Victoria;Melbourne;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeW5gHzu7MS7ANG-pGazjfs56FFP7E6ksvbumfd_kp1jIKAu8jfDZOv-TXZkL2_aem_FbGKH0Il9VWa5KOou89Bhg;Unknown;"Telstra Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd298-9b43-7180-af19-015ce98ca233;"2026-03-09 12:35:27";115.69.27.205;92;;284;;;Facebook.com;AU;Victoria;Melbourne;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsKzdFpzcnRjBmFwcF9pZA8OTY2MjQyMjIzMzk3MTE3AAxk3O2IQCn6CLwkgsEOYdUDXYpBGLB_1a_UtawhiUhn3D3u9DHdgBsX7w_aem_cHOJT9t29Ol8wR3F-Jkg-Q;Unknown;"Spintel Pty Ltd";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36";Android;10;0
019cd298-5de8-7390-a3c3-f4ce733aeb52;"2026-03-09 12:35:22";165.228.195.244;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEe5rGCtKddxWnunWj4m0KOcwFCxJBUB1N1SbIS_klE6jhHlQZXCuruL-aoXduf_aem_c8szAbsoH2X74KRP3ws3pw;Unknown;"Telstra Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd297-e333-72a8-bae6-0ed35ced6d7d;"2026-03-09 12:34:41";101.182.25.77;92;;284;;;Facebook.com;AU;Victoria;Melbourne;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsbcXYpzcnRjBmFwcF9pZA8NTY3MDY3MzQzMzUyNDI3AAdimNcyXkHt0W2XVRehMEe9IA7HkSJ_dcjhFsKxfKlZkiw6McqUkQ6lYu_aem_8XOZBChVDuAco3616VSBOg;Unknown;"Telstra Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
